Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,bothKeywords,Correspondence Address,Editors,Publisher Address,Conference name,Conference location,Conference date,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Source,Subject,EID,duplicatedIn,country,emailHost,institution,institutionWithCountry,authorFull
"Sidhu, B.K., Singh, K., Sharma, N.",A Catalogue of Model Smells and Refactoring Operations for Object-Oriented Software,2018,PROCEEDINGS OF THE 2018 SECOND INTERNATIONAL CONFERENCE ON INVENTIVE COMMUNICATION AND COMPUTATIONAL TECHNOLOGIES (ICICCT),,,,313,319,7,0,,,"[Sidhu, Brahmaleen K.] Punjabi Univ, Dept Comp Engn, Patiala, Punjab, India; [Singh, Kawaljeet] Punjabi Univ, Univ Comp Ctr, Patiala, Punjab, India; [Sharma, Neeraj] Punjabi Univ, Dept Comp Sci, Patiala, Punjab, India",,"The advent of Model Driven Engineering has promoted software quality assurance activities to a higher level of abstraction than code, i.e. architectural models. Early quality assessment facilitates better design, reduces maintenance costs, manages requirement volatility and leads to faster software development. Less than optimal design decisions made during development and subsequent evolution introduce smells in the software. Model Refactoring uncovers smells at architectural level and transforms graphical representations of software to enhance design without affecting its observable behaviour. Focusing on object-oriented software systems, this paper presents a catalogue of smells and refactoring operations for UML class diagrams. The paper concludes by highlighting challenges in model refactoring and the potential of learning-based approach in automating the process.",Deep Learning; Model Refactoring; Model Smells; Software Quality,EVOLUTION; DESIGN,Deep Learning;Model Refactoring;Model Smells;Software Quality;EVOLUTION;DESIGN,brahmaleen@pbi.ac.in; singhkawaljeet@pbi.ac.in; sharma_neeraj@hotmail.com,,"345 E 47TH ST, NEW YORK, NY 10017 USA",International Conference on Inventive Communication and Computational Technologies (ICICCT),"Coimbatore, INDIA","APR 20-21, 2018",IEEE,,978-1-5386-1974-2,,,English,,Proceedings Paper,WoS,Computer Science; Engineering; Telecommunications,WOS:000456251700060,2-s2.0-85059866952,India,pbi.ac.in,Punjabi Univ,"Punjabi Univ, India","Sidhu, Brahmaleen K.; Singh, Kawaljeet; Sharma, Neeraj"
"Medeiros, F., Ribeiro, M., Gheyi, R., Fonseca, B.",A Catalogue of Refactorings to Remove Incomplete Annotations,2014,JOURNAL OF UNIVERSAL COMPUTER SCIENCE,20,5,,746,771,26,2,,,"[Medeiros, Flavio; Gheyi, Rohit] Univ Fed Campina Grande, Campina Grande, Brazil; [Ribeiro, Marcio; Fonseca, Baldoino] Univ Fed Alagoas, Maceio, Brazil",,"Developers use the C Preprocessor (CPP) to handle portability and variability in program families of different sizes and domains. However, despite the widely use of the CPP in practice, it is often criticised due to its negative impact on code quality and maintainability, tool development, and its error-prone characteristics. In particular, developers aggravate these problems when using incomplete annotations, i.e., directives encompassing only parts of syntactical units. In a previous work, we performed an empirical study on 41 C program family releases and found that almost 90% of syntax errors occur in incomplete annotations. There are some refactorings to remove incomplete annotations proposed in the literature. However, they clone code and increase Lines of Code (LOC). To avoid incomplete annotations and their intrinsic problems, in this article we propose a catalogue of refactorings that converts incomplete annotations into complete ones without cloning code. We implement an Eclipse plug-in to help developers applying our refactorings automatically. To evaluate our catalogue, we performed a study to analyse questions related to code cloning, LOC, and number of directives. To answer our research questions, we analyse releases of 12 C program families of different domains ranging from 4.9 thousand to 1.5 million LOC. The results show that our catalogue can remove all incomplete annotations without cloning code, and increasing only in 0.04% the LOC and in 2.10% the number of directives.",Refactoring; C Language; Preprocessors; Program Families,CODE,Refactoring;C Language;Preprocessors;Program Families;CODE,flaviomedeiros@copin.ufcg.edu.br; marcio@ic.ufal.br; rohit@dsc.ufcg.edu.br; baldoino@ic.ufal.br,,"INFFELDGASSE 16C, GRAZ, A-8010, AUSTRIA",,,,"GRAZ UNIV TECHNOLGOY, INST INFORMATION SYSTEMS COMPUTER MEDIA-IICM",0948-695X,,,,English,J UNIVERS COMPUT SCI,Article,WoS,Computer Science,WOS:000339391100008,,Brazil,copin.ufcg.edu.br,Univ Fed Campina Grande;Univ Fed Alagoas,"Univ Fed Campina Grande, Brazil;Univ Fed Alagoas, Brazil","Medeiros, Flavio; Ribeiro, Marcio; Gheyi, Rohit; Fonseca, Baldoino"
"Joubert, W., Archibald, R., Berrill, M., Brown, W.M., Eisenbach, M., Grout, R., Larkin, J., Levesque, J., Messer, B., Norman, M., Philip, B., Sankaran, R., Tharrington, A., Turner, J.",Accelerated application development: The ORNL Titan experience,2015,COMPUTERS & ELECTRICAL ENGINEERING,46,,,123,138,16,12,10.1016/j.compeleceng.2015.04.008,,"[Joubert, Wayne; Archibald, Rick; Berrill, Mark; Brown, W. Michael; Eisenbach, Markus; Messer, Bronson; Norman, Matt; Philip, Bobby; Sankaran, Ramanan; Tharrington, Arnold; Turner, John] Oak Ridge Natl Lab, Oak Ridge, TN 37831 USA; [Levesque, John] Cray Inc, Knoxville, TN USA; [Grout, Ray] Natl Renewable Energy Lab, Golden, CO 80401 USA; [Larkin, Jeff] NVIDIA Corp, Oak Ridge, TN 37831 USA",,"The use of computational accelerators such as NVIDIA GPUs and Intel Xeon Phi processors is now widespread in the high performance computing community, with many applications delivering impressive performance gains. However, programming these systems for high performance, performance portability and software maintainability has been a challenge. In this paper we discuss experiences porting applications to the Titan system. Titan, which began planning in 2009 and was deployed for general use in 2013, was the first multi-petaflop system based on accelerator hardware. To ready applications for accelerated computing, a preparedness effort was undertaken prior to delivery of Titan. In this paper we report experiences and lessons learned from this process and describe how users are currently making use of computational accelerators on Titan. (C) 2015 Elsevier Ltd. All rights reserved.",High performance computing; Accelerated computing; GPU graphics processing units; Science applications; Code refactoring; Software optimization,,High performance computing;Accelerated computing;GPU graphics processing units;Science applications;Code refactoring;Software optimization,joubert@ornl.gov,,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, ENGLAND",,,,PERGAMON-ELSEVIER SCIENCE LTD,0045-7906,,,,English,COMPUT ELECTR ENG,Article,WoS,Computer Science; Engineering,WOS:000367122800011,2-s2.0-84928923259,United States,ornl.gov,Oak Ridge Natl Lab;Cray Inc;Natl Renewable Energy Lab;NVIDIA Corp,"Oak Ridge Natl Lab, United States;Cray Inc, United States;Natl Renewable Energy Lab, United States;NVIDIA Corp, United States","Joubert, Wayne; Archibald, Rick; Berrill, Mark; Brown, W. Michael; Eisenbach, Markus; Grout, Ray; Larkin, Jeff; Levesque, John; Messer, Bronson; Norman, Matt; Philip, Bobby; Sankaran, Ramanan; Tharrington, Arnold; Turner, John"
"Landman, J., Ray, J., Walters, J.P.",Accelerating HMMer searches on Opteron processors with minimally invasive recoding,2006,"20th International Conference on Advanced Information Networking and Applications, Vol 2, Proceedings",,,,628,632,5,0,,,,,"HMMer is a widely used tool for protein sequence homology detection, as well as functional annotation of homologous protein sequences, and protein family classification. The HMMer program is based upon a Viterbi algorithm coded in C, and is quite time consuming. Significant efforts have been undertaken to accelerate this program using custom special purpose hardware, as well as more recent attempts to leverage commodity special purpose hardware. This work will report on several minimally invasive code refactoring efforts independently undertaken by the authors, and their significant performance impact on wall clock execution time of the entire program for various test cases.",,,,,"Martin, DC","10662 LOS VAQUEROS CIRCLE, PO BOX 3014, LOS ALAMITOS, CA 90720-1264 USA",20th International Conference on Advanced Information Networking and Applications,"Vienna, AUSTRIA","APR 18-20, 2006",IEEE COMPUTER SOC,,0-7695-2466-4,,,English,,Proceedings Paper,WoS,Computer Science; Telecommunications,WOS:000238355300107,,,No email,,,"Landman, Joseph; Ray, Joydeep; Walters, J. P."
"Simpson, R.N., Liu, Z.",Acceleration of isogeometric boundary element analysis through a black-box fast multipole method,2016,ENGINEERING ANALYSIS WITH BOUNDARY ELEMENTS,66,,,168,182,15,15,10.1016/j.enganabound.2016.03.004,,"[Simpson, R. N.; Liu, Z.] Univ Glasgow, Sch Engn, Glasgow G12 8QQ, Lanark, Scotland",,"This work outlines the use of a black-box fast multipole method to accelerate the far-field computations in an isogeometric boundary element method. The present approach makes use of T-splines to discretise both the geometry and analysis fields allowing a direct integration of CAD and analysis technologies. A black-box fast multipole method of O(N) complexity is adopted that minimises refactoring of existing boundary element codes and facilitates the use of different kernels. This paper outlines an algorithm for implementing the open-source black-box fast multipole method BBFMM3D(1) within an existing isogeometric boundary element solver, but the approach is general in nature and can be applied to any boundary element surface discretisation. The O(N) behaviour of the approach is validated and compared against a standard direct solver. Finally, the ability to model large models of arbitrary geometric complexity directly from CAD models is demonstrated for potential problems. (C) 2016 Elsevier Ltd. All rights reserved.",Isogeometric analysis; T-splines; Boundary element method; Black-box fast multipole method,WAVE-RESISTANCE PROBLEM; B-SPLINES; PARTICLE SIMULATIONS; 3 DIMENSIONS; METHOD XIBEM; PHT-SPLINES; T-SPLINES; ALGORITHM; APPROXIMATION; SURFACES,Isogeometric analysis;T-splines;Boundary element method;Black-box fast multipole method;WAVE-RESISTANCE PROBLEM;B-SPLINES;PARTICLE SIMULATIONS;3 DIMENSIONS;METHOD XIBEM;PHT-SPLINES;ALGORITHM;APPROXIMATION;SURFACES,robert.simpson.2@glasgow.ac.uk,,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND",,,,ELSEVIER SCI LTD,0955-7997,,,,English,ENG ANAL BOUND ELEM,Article,WoS,Engineering; Mathematics,WOS:000374079600014,,United Kingdom,glasgow.ac.uk,Univ Glasgow,"Univ Glasgow, United Kingdom","Simpson, R. N.; Liu, Z."
"Tsantalis, N., Mansouri, M., Eshkevari, L.M., Mazinanian, D., Dig, D.",Accurate and Efficient Refactoring Detection in Commit History,2018,PROCEEDINGS 2018 IEEE/ACM 40TH INTERNATIONAL CONFERENCE ON SOFTWARE ENGINEERING (ICSE),,,,483,494,12,6,10.1145/3180155.3180206,,"[Tsantalis, Nikolaos; Mansouri, Matin; Eshkevari, Laleh M.; Mazinanian, Davood] Concordia Univ, Montreal, PQ, Canada; [Dig, Danny] Oregon State Univ, Corvallis, OR 97331 USA",,"Refactoring detection algorithms have been crucial to a variety of applications: (i) empirical studies about the evolution of code, tests, and faults, (ii) tools for library API migration, (iii) improving the comprehension of changes and code reviews, etc. However, recent research has questioned the accuracy of the state-of-the-art refactoring detection tools, which poses threats to the reliability of their application. Moreover, previous refactoring detection tools are very sensitive to user-provided similarity thresholds, which further reduces their practical accuracy. In addition, their requirement to build the project versions/revisions under analysis makes them inapplicable in many real-world scenarios. To reinvigorate a previously fruitful line of research that has stifled, we designed, implemented, and evaluated RMINER, a technique that overcomes the above limitations. At the heart of RMINER is an AST-based statement matching algorithm that determines refactoring candidates without requiring user-defined thresholds. To empirically evaluate RMINER, we created the most comprehensive oracle to date that uses triangulation to create a dataset with considerably reduced bias, representing 3,188 refactorings from 185 open-source projects. Using this oracle, we found that RMINER has a precision of 98% and recall of 87%, which is a significant improvement over the previous state-of-the-art.",Refactoring; Commit; Git; Abstract Syntax Tree; Oracle; Accuracy,CODE; SUPPORT; THRESHOLDS,Refactoring;Commit;Git;Abstract Syntax Tree;Oracle;Accuracy;CODE;SUPPORT;THRESHOLDS,,,"345 E 47TH ST, NEW YORK, NY 10017 USA",40th ACM/IEEE International Conference on Software Engineering (ICSE),"Gothenburg, SWEDEN","MAY 27-JUN 03, 2018",IEEE,,978-1-4503-5638-1,,,English,,Proceedings Paper,WoS,Computer Science,WOS:000454843300057,,Canada;United States,No email,Concordia Univ;Oregon State Univ,"Concordia Univ, Canada;Oregon State Univ, United States","Tsantalis, Nikolaos; Mansouri, Matin; Eshkevari, Laleh M.; Mazinanian, Davood; Dig, Danny"
"Hinsman, C., Sangal, N., Stafford, J.",Achieving Agility through Architecture Visibility,2009,ARCHITECTURES FOR ADAPTIVE SOFTWARE SYSTEMS,5581,,,116,+,3,9,,,"[Hinsman, Carl] LL Bean Inc, Freeport, ME 04032 USA; [Sangal, Neeraj] Lattix Inc, Andover, MA USA; [Stafford, Judith] Tufts Univ, Medford, MA USA",,"L.L.Bean is a large retail organization whose development processes must be agile in order to allow rapid enhancement and maintenance of its technology infrastructure. Over the past decade L.L.Bean's software code-base had become brittle and difficult to evolve. An effort was launched to identify and develop new approaches to software development that would enable ongoing agility to support the ever-increasing demands of a successful business. This paper recounts L.L.Bean's effort in restructuring its code-base and adoption of process improvements that support an architecture-based agile approach to development, governance, and maintenance. Unlike traditional refactoring, this effort was guided by an architectural blueprint that was created in a Dependency Structure Matrix where the refactoring was first prototyped before being applied to the actual code base.",architecture; dependency; agility,,architecture;dependency;agility,chinsman@llbean.com; neeraj.sangal@lattix.com; jas@cs.tufts.edu,"Mirandola, R; Gorton, I; Hofmeister, C","HEIDELBERGER PLATZ 3, D-14197 BERLIN, GERMANY",5th International Conference on the Quality of Software Architectures,"E Stroudsburg, PA","JUN 24-26, 2009",SPRINGER-VERLAG BERLIN,0302-9743,978-3-642-02350-7,,,English,LECT NOTES COMPUT SC,Proceedings Paper,WoS,Computer Science,WOS:000270318900008,2-s2.0-70350640676,United States,llbean.com,LL Bean Inc;Lattix Inc;Tufts Univ,"LL Bean Inc, United States;Lattix Inc, United States;Tufts Univ, United States","Hinsman, Carl; Sangal, Neeraj; Stafford, Judith"
"Faiz, F., Easmin, R., Gias, A.U.",Achieving better requirements to code traceability: Which refactoring should be done first?,2016,PROCEEDINGS 2016 10TH INTERNATIONAL CONFERENCE ON THE QUALITY OF INFORMATION AND COMMUNICATIONS TECHNOLOGY (QUATIC),,,,9,14,6,1,10.1109/QUATIC.2016.10,,"[Faiz, Farina; Gias, Alim Ul] Univ Dhaka, Inst Informat Technol, Dhaka 1000, Bangladesh; [Easmin, Rubaida] Daffodil Int Univ, Dept Software Engn, Dhaka 1207, Bangladesh",,"During system evolution, trace links among requirements and source code could get distorted due to vocabulary mismatch problem. Nevertheless, researchers have shown that those links can be recovered by code refactoring. Moreover, it is shown that refactoring methods like rename identifier has positive impact in supporting traceability. This leads to the question that will other refactoring methods will have same impact on traceability? If yes, then which refactoring technique should be applied first? For this investigation, we used four refactoring techniques - introducing parameter object, pull up field, inline class and decompose conditional. The methods were applied on two different code bases namely iTrust and eTour. The traceability links were generated by an automated tool named TraceME. From the experiment, we observed that introducing parameter object improves requirements to code traceability. Inline class and decompose conditional show a little but positive influence. Pull up method shows no improvements in traceability. We conclude that introducing parameter object should have high priority to achieve better traceability.",,,,bit0406@iit.du.ac.bd; rubaida.swe@diu.edu.bd; alim@iit.du.ac.bd,"Paulk, M; Machado, RJ; Brito, MA; Amaral, V; Goulao, M","345 E 47TH ST, NEW YORK, NY 10017 USA",10th International Conference on the Quality of Information and Communications Technology (QUATIC),"Lisbon, PORTUGAL","SEP 06-09, 2016",IEEE,,978-1-5090-3581-6,,,English,,Proceedings Paper,WoS,Computer Science; Engineering,WOS:000400069400002,,Bangladesh,iit.du.ac.bd,Univ Dhaka;Daffodil Int Univ,"Univ Dhaka, Bangladesh;Daffodil Int Univ, Bangladesh","Faiz, Farina; Easmin, Rubaida; Gias, Alim Ul"
"Kramer M.E., Klein J., Steel J.R.H., Morin B., Kienzle J., Barais O., Jezequel J.M.",Achieving Practical Genericity in Model Weaving through Extensibility,2013,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),7909 LNCS,,,108,124,,5,10.1007/978-3-642-38883-5_12,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84884409371&doi=10.1007%2f978-3-642-38883-5_12&partnerID=40&md5=6465d8aa2006601ad6647f71d5937b25,"Karlsruhe Institute of Technology, Karlsruhe, Germany; University of Luxembourg, Luxembourg, Luxembourg; University of Queensland, Brisbane, QLD, Australia; SINTEF ICT, Oslo, Norway; McGill University, Montréal, QC, Canada; IRISA-INRIA, Triskell, Rennes, France","Kramer, M.E., Karlsruhe Institute of Technology, Karlsruhe, Germany; Klein, J., University of Luxembourg, Luxembourg, Luxembourg; Steel, J.R.H., University of Queensland, Brisbane, QLD, Australia; Morin, B., SINTEF ICT, Oslo, Norway; Kienzle, J., McGill University, Montréal, QC, Canada; Barais, O., IRISA-INRIA, Triskell, Rennes, France; Jézéquel, J.-M., IRISA-INRIA, Triskell, Rennes, France","Many tasks in Model-Driven Engineering (MDE) involve cross-cutting model modifications that are bound to certain conditions. These transformation tasks may affect numerous model elements and appear in different forms, such as refactoring, model completions or aspect-oriented model weaving. Although the operations at the heart of these tasks are domain-independent, generic solutions that can easily be used and customized are rare. General-purpose model transformation languages as well as existing model weavers exhibit metamodel-specific restrictions and introduce accidental complexity. In this paper, we present a model weaver that addresses these problems using an extensible approach that is defined for metamodelling languages and therefore generic. Through examples of different formalisms we illustrate how our weaver manages homogeneous in-place model transformations that may involve the duplication, merge, and removal of model elements in a generic way. Possibilities to extend and customize our weaver are exemplified for the non-software domain of Building Information Modelling (BIM). © 2013 Springer-Verlag.",,Aspect oriented modeling; Building Information Modelling; Generic solutions; Model completions; Model modification; Model transformation; Model transformation languages; Model-driven Engineering; Architectural design; Weaving; Mathematical models,Aspect oriented modeling;Building Information Modelling;Generic solutions;Model completions;Model modification;Model transformation;Model transformation languages;Model-driven Engineering;Architectural design;Weaving;Mathematical models,"Karlsruhe Institute of Technology, Karlsruhe, Germany",,,,,,,03029743,9783642388828,,,English,Lect. Notes Comput. Sci.,Conference Paper,Scopus,,2-s2.0-84884409371,,Germany;Luxembourg;Australia;Norway;Canada;France,No email,,,"Kramer M.E., Klein J., Steel J.R.H., Morin B., Kienzle J., Barais O., Jezequel J.-M."
Bosch J.,Achieving simplicity with the three-layer product model,2013,Computer,46,11, 6587454,34,39,,16,10.1109/MC.2013.295,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84890038400&doi=10.1109%2fMC.2013.295&partnerID=40&md5=b14c192e599e13639c897367954245d8,"Software Center, Chalmers University of Technology, Sweden","Bosch, J., Software Center, Chalmers University of Technology, Sweden","Increased system complexity has historically been treated as an inevitable consequence of architecture evolution over time. The three-layer product model offers an innovative framework for managing system growth that encourages greater efficiency, nimbler responsiveness, and more opportunities for innovation during all stages of the software development life cycle. © 2013 IEEE.",commoditization; refactoring; software architecture complexity; software evolution; software life cycle; software product management; software R&amp;D,Commoditization; Refactorings; Software Evolution; Software life cycles; Software product management; Computer science,commoditization;refactoring;software architecture complexity;software evolution;software life cycle;software product management;software R&amp;D;Refactorings;Software life cycles;Computer science,"Bosch, J.; Software Center, Chalmers University of TechnologySweden; email: jan@janbosch.com",,,,,,,00189162,,CPTRB,,English,Computer,Article,Scopus,,2-s2.0-84890038400,,Sweden,janbosch.com,,,Bosch J.
"Salgado, R.S., Diaz, O.G.F., Marrero, M.A.V., Mendez, I.M.V., Castillo, L.E.S.",Achieving software reuse using the interface separation principle of object-oriented design,2004,"8TH WORLD MULTI-CONFERENCE ON SYSTEMICS, CYBERNETICS AND INFORMATICS, VOL I, PROCEEDINGS: INFORMATION SYSTEMS, TECHNOLOGIES AND APPLICATIONS",,,,456,461,6,0,,,"Natl Res & Technol Dev Ctr, Ctr Comp Sci, Cuernavaca 62490, Morelos, Mexico",,"Object-Oriented programming is one of the current paradigms for producing quality software, providing that the object-oriented principles are respected and fulfilled. One principle is the interface separation, which states that clients of any given software must not be forced to depend on interfaces they do not need. If an object-oriented framework complies with this principle, it can be reused and extended without any trouble as we will show in this paper. If code reuse is achieved, we reduce the time of programming a new application, and also reduce the possibility of errors, since we are using already-proven code. When a framework does not comply with this principle because it has the interface dependency problem, its functionality cannot be reused separately, and cannot be extended either without violating other object-oriented principles, like the open / close principle. To solve this problem, in this paper a refactoring method for separating interface based on the interface separation principle is presented.",software reuse; interface separation principle; interface separation method; interface dependency problem; framework,,software reuse;interface separation principle;interface separation method;interface dependency problem;framework,,"Callaos, N; Lesso, W; Sanchez, B","14269 LORD BARCLAY DR, ORLANDO, FL 32837 USA","8th World Multi-Conference on Systemics, Cybernetics and Informatics","Orlando, FL","JUL 18-21, 2004",INT INST INFORMATICS & SYSTEMICS,,980-6560-13-2,,,English,,Proceedings Paper,WoS,Computer Science,WOS:000227674200083,,Mexico,No email,Ctr Comp Sci,"Ctr Comp Sci, Mexico","Salgado, RS; Diaz, OGF; Marrero, MAV; Mendez, IMV; Castillo, LES"
"Marin, M., Moonen, L., van Deursen, A.",A classification of crosscutting concerns,2005,ICSM 2005: PROCEEDINGS OF THE 21ST IEEE INTERNATIONAL CONFERENCE ON SOFTWARE MAINTENANCE,,,,673,676,4,20,,,"Delft Univ Technol, Software Evolut Res Lab, Delft, Netherlands",,"Refactoring software to apply aspect oriented solutions requires a clear understanding of what are the potential crosscutting concerns and which aspect solutions to replace them with. This process can benefit from the recognition of recurring generic concerns and their reusable aspect solutions. In this paper we propose a classification of crosscutting concerns in sorts based on the analysis of various refactoring efforts. We discuss how sorts help concern understanding and refactoring, how they support the identification of crosscutting concerns, and how they can contribute to the evolution of aspect languages.",,,,A.M.Marin@ewi.tudelft.nl; Leon.Moonen@computer.org; Arie.van.Deursen@cwi.nl,,"10662 LOS VAQUEROS CIRCLE, PO BOX 3014, LOS ALAMITOS, CA 90720-1264 USA",21st International Conference on Software Maintenance (ICSM 2005),"Budapest, HUNGARY","SEP 26-29, 2005",IEEE COMPUTER SOC,1063-6773,0-7695-2368-4,,,English,PROC IEEE INT CONF S,Proceedings Paper,WoS,Computer Science,WOS:000234333200076,2-s2.0-33646922342,Netherlands,ewi.tudelft.nl,Software Evolut Res Lab,"Software Evolut Res Lab, Netherlands","Marin, M; Moonen, L; van Deursen, A"
"Greenberg, A., Hjaimtysson, G., Maltz, D.A., Myers, A., Rexford, J., Xie, G., Yan, H., Zhan, J.B., Zhang, H.",A clean slate 4D approach to network control and management,2005,ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,35,5,,41,+,13,302,10.1145/1096536.1096541,,"Univ Penn, Philadelphia, PA 19104 USA",,"Today's data networks are surprisingly fragile and difficult to manage. We argue that the root of these problems lies in the complexity of the control and management planes-the software and protocols coordinating network elements-and particularly the way the decision logic and the distributed-systems issues are inexorably intertwined. We advocate a complete refactoring of the functionality and propose three key principles-network-level objectives, network-wide views, and direct control-that we believe should underlie a new architecture. Following these principles, we identify an extreme design point that we call ""4D,"" after the architecture's four planes: decision, dissemination, discovery, and data. The 4D architecture completely separates an AS's decision logic from protocols that govern the interaction among network elements. The AS-level objectives are specified in the decision plane, and enforced through direct configuration of the state that drives how the data plane forwards packets. In the 4D architecture, the routers and switches simply forward packets at the behest of the decision plane, and collect measurement data to aid the decision plane in controlling the network. Although 4D would involve substantial changes to today's control and management planes, the format of data packets does not need to change; this eases the deployment path for the 4D architecture, while still enabling substantial innovation in network control and management. We hope that exploring an extreme design point will help focus the attention of the research and industrial communities on this crucially important and intellectually challenging area.",network management; robustness; control,,network management;robustness;control,albert@research.att.com; gisli@ru.is; dmaltz@cs.cmu.edu; acm@cs.cmu.edu; jrex@cs.princeton.edu; xie@nps.edu; yh@cs.cmu.edu; jibin@cs.cmu.edu; hzhang@cs.cmu.edu,,"2 PENN PLAZA, STE 701, NEW YORK, NY 10121-0701 USA",,,,ASSOC COMPUTING MACHINERY,0146-4833,,,,English,ACM SIGCOMM COMP COM,Article,WoS,Computer Science,WOS:000233120300005,2-s2.0-33750037341,United States,research.att.com,Philadelphia,"Philadelphia, United States","Greenberg, A; Hjaimtysson, G; Maltz, DA; Myers, A; Rexford, J; Xie, G; Yan, H; Zhan, JB; Zhang, H"
"Ma, P.J., Bian, Y.X., Su, X.H.",A Clustering Method for Pruning False Positive of Clonde Code Detection,2013,"PROCEEDINGS 2013 INTERNATIONAL CONFERENCE ON MECHATRONIC SCIENCES, ELECTRIC ENGINEERING AND COMPUTER (MEC)",,,,1917,1920,4,0,,,"[Ma, Peijun; Bian, Yixin; Su, Xiaohong] Harbin Inst Technol, Dept Comp Sci, Harbin 150006, Peoples R China",,"There are some false positives when detect syntax similar cloned code with clone code technology based on token. In this paper, we propose a novel algorithm to automatically prune false positives of clone code detection by performing clustering with different attribute and weights. First, closely related statements are grouped into a cluster by performing clustering. Second, compare the hash values of the statements in the two clusters to prune false positives. The experimental results show that our method can effectively prune clone code false positives caused by switching the orders of same structure statments. It not only improves the accuracy of cloned code detection and cloned code related defects detection but also contribute to the following study of cloned code refactoring",Cloned code; false positives; style; clustering; refactoring,,Cloned code;false positives;style;clustering;refactoring,ma@hit.edu.cn; Bianyu79@163.com; sxh@hit.edu.cn,,"345 E 47TH ST, NEW YORK, NY 10017 USA","International Conference on Mechatronic Sciences, Electric Engineering and Computer (MEC)","Shenyang, PEOPLES R CHINA","DEC 20-22, 2013",IEEE,,978-1-4799-2565-0,,,English,,Proceedings Paper,WoS,Engineering,WOS:000366663001123,,China,hit.edu.cn,Harbin Inst Technol,"Harbin Inst Technol, China","Ma, Peijun; Bian, Yixin; Su, Xiaohong"
"Meng, S., Barbosa, L.S.",A Coalgebraic Semantic Framework for Reasoning about UML Sequence Diagrams,2008,QSIC 2008: PROCEEDINGS OF THE EIGHTH INTERNATIONAL CONFERENCE ON QUALITY SOFTWARE,,,,17,+,3,3,10.1109/QSIC.2008.13,,"[Meng, Sun; Barbosa, Luis S.] CWI, Kruislaan 413, NL-1009 AB Amsterdam, Netherlands",,"If, as a well-known aphorism states, modelling is for reasoning, this paper is an attempt to define and apply a formal semantics to UML sequence diagrams in order to enable rigourous reasoning about them. Actually, model transformation plays a fundamental role in the process of software development, in general, and in model driven engineering in particular Being a de facto standard in this area, UML is no exception, even if the number and diversity of diagrams expressing UML models makes it difficult to base its semantics on a single framework. This paper builds on previous attempts to base UML semantics in a coalgebraic setting and illustrates the application of the proposed framework to reason about composition and refactoring of sequence diagrams.",,SOFTWARE COMPONENTS; REFINEMENT; SPECIFICATIONS; SCENARIOS; MODELS,SOFTWARE COMPONENTS;REFINEMENT;SPECIFICATIONS;SCENARIOS;MODELS,M.Sun@cwi.nl; lsb@di.uminho.pt,"Zhu, H","10662 LOS VAQUEROS CIRCLE, PO BOX 3014, LOS ALAMITOS, CA 90720-1264 USA",8th International Conference on Quality Software,"Oxford, ENGLAND","AUG 12-13, 2008",IEEE COMPUTER SOC,1550-6002,978-0-7695-3312-4,,,English,INT CONF QUAL SOFTW,Proceedings Paper,WoS,Computer Science; Engineering,WOS:000259566300003,,Netherlands,cwi.nl,CWI,"CWI, Netherlands","Meng, Sun; Barbosa, Luis S."
